"Id","Class","Label","Direction","Intersection"
"SOX6","gene","SOX6","Down-regulated","CMV_eg_AND_HIV_eg"
"SPEG","gene","SPEG","Down-regulated","CMV_eg_AND_HIV_eg"
"SPON1","gene","SPON1","Down-regulated","CMV_eg_AND_HIV_eg"
"STAC2","gene","STAC2","Down-regulated","CMV_eg_AND_HIV_eg"
"SUSD2","gene","SUSD2","Down-regulated","CMV_eg_AND_HIV_eg"
"SVEP1","Placenta_179","SVEP1","Down-regulated","CMV_eg_AND_HIV_eg"
"SYCE1","gene","SYCE1","Down-regulated","CMV_eg_AND_HIV_eg"
"TAFA4","gene","TAFA4","Down-regulated","CMV_eg"
"TBC1D3I","gene","TBC1D3I","Down-regulated","CMV_eg"
"TBX20","gene","TBX20","Down-regulated","CMV_eg_AND_HIV_eg"
"TBX4","Placenta_179","TBX4","Down-regulated","CMV_eg_AND_HIV_eg"
"TBX5","Placenta_179","TBX5","Down-regulated","CMV_eg_AND_HIV_eg"
"TCF21","Placenta_179","TCF21","Down-regulated","CMV_eg_AND_HIV_eg"
"TCN1","gene","TCN1","Down-regulated","CMV_eg"
"TET1","gene","TET1","Down-regulated","CMV_eg"
"TFAP2A","gene","TFAP2A","Down-regulated","CMV_eg"
"TKTL1","gene","TKTL1","Down-regulated","CMV_eg"
"TMEM100","gene","TMEM100","Down-regulated","CMV_eg"
"TMEM130","gene","TMEM130","Down-regulated","CMV_eg_AND_HIV_eg"
"TMEM151A","gene","TMEM151A","Down-regulated","CMV_eg"
"TMEM179","gene","TMEM179","Down-regulated","CMV_eg_AND_HIV_eg"
"TMEM59L","gene","TMEM59L","Down-regulated","CMV_eg_AND_HIV_eg"
"TMEM88B","gene","TMEM88B","Down-regulated","CMV_eg_AND_HIV_eg"
"TNNC1","gene","TNNC1","Down-regulated","CMV_eg_AND_HIV_eg"
"TNNT2","gene","TNNT2","Down-regulated","CMV_eg"
"TPH1","gene","TPH1","Down-regulated","CMV_eg"
"VAT1L","gene","VAT1L","Down-regulated","CMV_eg_AND_HIV_eg"
"VTN","gene","VTN","Down-regulated","CMV_eg"
"WFDC1","Placenta_179","WFDC1","Down-regulated","CMV_eg_AND_HIV_eg"
"WNT1","gene","WNT1","Down-regulated","CMV_eg"
"WNT3A","Placenta_67","WNT3A","Down-regulated","CMV_eg"
"ZNF423","gene","ZNF423","Down-regulated","CMV_eg_AND_HIV_eg"
"AAAS","gene","AAAS","Down-regulated","CMV_T"
"AADACL2","gene","AADACL2","Down-regulated","CMV_T_AND_HIV_T"
"ABCC5","gene","ABCC5","Down-regulated","CMV_T"
"ABHD2","gene","ABHD2","Down-regulated","CMV_T"
"ACER3","gene","ACER3","Down-regulated","CMV_T"
"ACOX1","gene","ACOX1","Down-regulated","CMV_T"
"ACTN1","gene","ACTN1","Down-regulated","CMV_T"
"ADAM10","gene","ADAM10","Down-regulated","CMV_T"
"ADAM28","gene","ADAM28","Down-regulated","CMV_T"
"ADK","gene","ADK","Down-regulated","CMV_T"
"AHNAK","gene","AHNAK","Down-regulated","CMV_T"
"AK1","gene","AK1","Down-regulated","CMV_T"
"ALDH1A2","gene","ALDH1A2","Down-regulated","CMV_T"
"ALKBH7","gene","ALKBH7","Down-regulated","CMV_T"
"AMPD2","gene","AMPD2","Down-regulated","CMV_T"
"AMZ2","gene","AMZ2","Down-regulated","CMV_T"
"ANAPC16","gene","ANAPC16","Down-regulated","CMV_T"
"ANKMY1","gene","ANKMY1","Down-regulated","CMV_T"
"ANKRD16","gene","ANKRD16","Down-regulated","CMV_T"
"ANXA9","gene","ANXA9","Down-regulated","CMV_T"
"APPL2","gene","APPL2","Down-regulated","CMV_T"
"ARHGAP4","gene","ARHGAP4","Down-regulated","CMV_T"
"ARHGAP6","gene","ARHGAP6","Down-regulated","CMV_T"
"ARL3","gene","ARL3","Down-regulated","CMV_T"
"ATP2B4","gene","ATP2B4","Down-regulated","CMV_T"
"ATP6AP2","gene","ATP6AP2","Down-regulated","CMV_T"
"ATP9B","gene","ATP9B","Down-regulated","CMV_T"
"ATPSCKMT","gene","ATPSCKMT","Down-regulated","CMV_T"
"C1orf35","gene","C1orf35","Down-regulated","CMV_T"
"CABLES1","gene","CABLES1","Down-regulated","CMV_T"
"CALM2","gene","CALM2","Down-regulated","CMV_T"
"CALU","gene","CALU","Down-regulated","CMV_T"
"CAMK1","gene","CAMK1","Down-regulated","CMV_T"
"CAMKK1","gene","CAMKK1","Down-regulated","CMV_T"
"CASS4","gene","CASS4","Down-regulated","CMV_T"
"CBX5","gene","CBX5","Down-regulated","CMV_T"
"CCDC57","gene","CCDC57","Down-regulated","CMV_T"
"CCDC9B","gene","CCDC9B","Down-regulated","CMV_T"
"CCNI","gene","CCNI","Down-regulated","CMV_T"
"CCNY","gene","CCNY","Down-regulated","CMV_T"
"CD163L1","gene","CD163L1","Down-regulated","CMV_T"
"CD180","gene","CD180","Down-regulated","CMV_T"
"CD28","Placenta_47","CD28","Down-regulated","CMV_T"
"CD300LB","gene","CD300LB","Down-regulated","CMV_T"
"CD302","gene","CD302","Down-regulated","CMV_T"
"CD36","gene","CD36","Down-regulated","CMV_T"
"CDA","gene","CDA","Down-regulated","CMV_T"
"CDK6","gene","CDK6","Down-regulated","CMV_T"
"CEBPZOS","gene","CEBPZOS","Down-regulated","CMV_T"
"CELSR1","gene","CELSR1","Down-regulated","CMV_T"
"CERK","gene","CERK","Down-regulated","CMV_T"
"CHP1","gene","CHP1","Down-regulated","CMV_T"
"CIDEB","gene","CIDEB","Down-regulated","CMV_T"
"CLCN5","gene","CLCN5","Down-regulated","CMV_T"
"CLEC5A","gene","CLEC5A","Down-regulated","CMV_T"
"CNRIP1","gene","CNRIP1","Down-regulated","CMV_T"
"COLEC12","gene","COLEC12","Down-regulated","CMV_T"
"COTL1","gene","COTL1","Down-regulated","CMV_T"
"CPOX","gene","CPOX","Down-regulated","CMV_T"
"CR1","gene","CR1","Down-regulated","CMV_T"
"CSF1R","Placenta_179","CSF1R","Down-regulated","CMV_T"
"CTDSP1","gene","CTDSP1","Down-regulated","CMV_T"
"CXCR4","gene","CXCR4","Down-regulated","CMV_T_AND_HIV_T"
"CXXC5","gene","CXXC5","Down-regulated","CMV_T"
"CYGB","gene","CYGB","Down-regulated","CMV_T"
"CYP27A1","gene","CYP27A1","Down-regulated","CMV_T"
"DAB2","Placenta_179","DAB2","Down-regulated","CMV_T"
"DBNDD2","gene","DBNDD2","Down-regulated","CMV_T"
"DDAH2","gene","DDAH2","Down-regulated","CMV_T"
"DEPTOR","gene","DEPTOR","Down-regulated","CMV_T"
"DFFA","gene","DFFA","Down-regulated","CMV_T"
"DHCR24","gene","DHCR24","Down-regulated","CMV_T"
"DIP2C","gene","DIP2C","Down-regulated","CMV_T"
"DNAAF9","gene","DNAAF9","Down-regulated","CMV_T"
"DNAJC10","gene","DNAJC10","Down-regulated","CMV_T"
"DNAJC3","gene","DNAJC3","Down-regulated","CMV_T"
"DPM3","gene","DPM3","Down-regulated","CMV_T"
"DTWD1","gene","DTWD1","Down-regulated","CMV_T"
"DYNC2H1","gene","DYNC2H1","Down-regulated","CMV_T"
"DYRK2","gene","DYRK2","Down-regulated","CMV_T"
