Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
DIPK1B,-23.2845914013614,2.23226864019371E-17,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DIPK2B,-6.75507506580179,1.87935813760232E-05,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DIRAS2,-3.45760311588112,0.0477363268731068,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-9.39280996730332,0.0055765470744118,1045,HIV,Term,FALSE,FALSE
DKK1,-4.89888841183487,0.00296131013221134,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DKK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.51357565190209,0.034493088099086,2335,HIV,Term,FALSE,FALSE
DLC1,-2.96023796071773,0.00884953448915078,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DLG3,-4.37029011590573,0.0382613279399375,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-8.67010322491667,0.0339709642469372,2311,HIV,Term,FALSE,FALSE
DLG5,-3.34727314240073,0.0122749288898184,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DLK1,-9.63880443791953,1.82862885761257E-08,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-10.62135699392,0.0126229123577567,1485,HIV,Term,FALSE,FALSE
DLL4,-5.51657819600964,0.000285467284202198,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DLX3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-18.9481117614121,6.64237239758723E-11,143,HIV,Term,FALSE,FALSE
DLX5,-5.50174935872439,0.0193926196270354,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-3,-7.66661409678335,0.0024450552066517,781,HIV,Term,FALSE,FALSE
DLX6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.49430533089086,0.0392817825390541,2494,HIV,Term,FALSE,FALSE
DMPK,-4.95806758513069,0.000626343336509579,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DMWD,-3.6428374173522,0.00907043489871533,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DNAAF11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.13716077523239,0.000120745698942132,421,HIV,Term,FALSE,FALSE
DNAAF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.0603736846727,0.0169182175956675,1670,HIV,Term,FALSE,FALSE
DNAH10,-5.71963455714422,0.00138067786113195,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-20.8853445385687,6.10463722034069E-07,199,HIV,Term,FALSE,FALSE
DNAH11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-7.57563215535847,0.00643686953573281,1122,HIV,Term,FALSE,FALSE
