Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_between_3,Shared_between_rem_vote
KCNJ2,NA,NA,NA,NA,3,3,9,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
KCNJ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.05444250148119,0.017151496624974,3420,HIV,Early/mid,FALSE,FALSE
KCNK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.52941726818124,0.0334596579989957,4317,HIV,Early/mid,FALSE,FALSE
KCNK12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.74435051056167,0.000474867582888513,874,HIV,Early/mid,FALSE,FALSE
KCNK17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-7.98880540217894,0.00115294174514892,921,HIV,Early/mid,FALSE,FALSE
KCNMA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.87895150611103,0.0175872886560263,3458,HIV,Early/mid,FALSE,FALSE
KCNMB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.05682812622241,0.0326620214123741,4281,HIV,Early/mid,FALSE,FALSE
KCNN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.07165148866157,0.0155988868523573,3305,HIV,Early/mid,FALSE,FALSE
KCNS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.85899409289748,0.00413956356178883,1767,HIV,Early/mid,FALSE,FALSE
KCNT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.18468210714351,0.0110291825186119,2925,HIV,Early/mid,FALSE,FALSE
KCTD15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.08829082899822,0.00169068386721955,1482,HIV,Early/mid,FALSE,FALSE
